"City","Long","Lat","year","month","pr","tmax","tmin"
"Albuquerque",-106.6504,35.0844,"2017","02",15.4160003662109,16.0009994506836,-1.28900003433228
"Albuquerque",-106.6504,35.0844,"2017","03",4.66599988937378,21.8390007019043,1.98300004005432
"Albuquerque",-106.6504,35.0844,"2017","04",24.3740005493164,22.5610008239746,4.7350001335144
"Albuquerque",-106.6504,35.0844,"2017","05",2.41700005531311,26.1879997253418,8.67500019073486
"Albuquerque",-106.6504,35.0844,"2017","06",7.33599996566772,34.4739990234375,15.039999961853
"Albuquerque",-106.6504,35.0844,"2017","07",13.9409999847412,34.1949996948242,18.2859992980957
"Albuquerque",-106.6504,35.0844,"2017","08",49.7369995117188,31.7269992828369,16.8090000152588
"Albuquerque",-106.6504,35.0844,"2017","09",57.2080001831055,29.5370006561279,12.8479995727539
"Albuquerque",-106.6504,35.0844,"2017","10",12.1479997634888,23.048999786377,5.64699983596802
"Albuquerque",-106.6504,35.0844,"2017","11",0,19.7310009002686,1.11699998378754
"Albuquerque",-106.6504,35.0844,"2017","12",0,12.878999710083,-5.44399976730347
"Seattle",-122.3328,47.6061,"2017","01",99.9670028686523,6.4520001411438,0.270999997854233
"Seattle",-122.3328,47.6061,"2017","02",219.324005126953,8.04599952697754,2.1949999332428
"Seattle",-122.3328,47.6061,"2017","03",186.27799987793,10.5179996490479,4.72700023651123
"Seattle",-122.3328,47.6061,"2017","04",111.996002197266,13.9759998321533,6.28200006484985
"Seattle",-122.3328,47.6061,"2017","05",71.9850006103516,18.9230003356934,8.89700031280518
"Seattle",-122.3328,47.6061,"2017","06",31.8649997711182,21.4370002746582,11.414999961853
"Seattle",-122.3328,47.6061,"2017","07",0.782000005245209,24.9680004119873,12.5740003585815
"Seattle",-122.3328,47.6061,"2017","08",1.27100002765656,26.8819999694824,13.826000213623
"Seattle",-122.3328,47.6061,"2017","09",26.4740009307861,22.992000579834,12.2030000686646
"Seattle",-122.3328,47.6061,"2017","10",84.6940002441406,15.8979997634888,7.2979998588562
"Seattle",-122.3328,47.6061,"2017","11",206.498992919922,10.5190000534058,5.21500015258789
"Seattle",-122.3328,47.6061,"2017","12",126.208999633789,7.32100009918213,1.92400002479553
"Orlando",-81.3789,28.5384,"2018","01",61.8889999389648,20.1450004577637,8.59500026702881
"Orlando",-81.3789,28.5384,"2018","02",12.1029996871948,27.5419998168945,16.1030006408691
"Orlando",-81.3789,28.5384,"2018","03",59.6380004882812,25.0799999237061,12.0769996643066
"Orlando",-81.3789,28.5384,"2018","04",107.309997558594,28.5729999542236,17.1040000915527
"Orlando",-81.3789,28.5384,"2018","05",242.02099609375,29.4419994354248,20.7000007629395
"Orlando",-81.3789,28.5384,"2018","06",202.990005493164,32.7760009765625,23.2409992218018
"Orlando",-81.3789,28.5384,"2018","07",257.664001464844,33.0530014038086,23.8209991455078
"Orlando",-81.3789,28.5384,"2018","08",244.34700012207,33.2849998474121,23.9130001068115
"Orlando",-81.3789,28.5384,"2018","09",139.13200378418,33.3240013122559,24.4540004730225
"Orlando",-81.3789,28.5384,"2018","10",49.0429992675781,30.6319999694824,21.1639995574951
"Orlando",-81.3789,28.5384,"2018","11",38.7350006103516,26.2700004577637,15.6960000991821
"Orlando",-81.3789,28.5384,"2018","12",171.649002075195,22.3090000152588,12.2749996185303
"StateCollege",-77.86,40.7934,"2018","01",65.568000793457,-0.0869999974966049,-9.33100032806396
"StateCollege",-77.86,40.7934,"2018","02",146.850006103516,5.46799993515015,-4.11299991607666
"StateCollege",-77.86,40.7934,"2018","03",51.7430000305176,4.85400009155273,-3.45700001716614
"StateCollege",-77.86,40.7934,"2018","04",95.2269973754883,11.7740001678467,1.31700003147125
"StateCollege",-77.86,40.7934,"2018","05",110.714996337891,23.9740009307861,13.0609998703003
"StateCollege",-77.86,40.7934,"2018","06",136.423004150391,24.1189994812012,14.6499996185303
"StateCollege",-77.86,40.7934,"2018","07",233.75700378418,27.3880004882812,16.9659996032715
"StateCollege",-77.86,40.7934,"2018","08",186.358993530273,26.7159996032715,18.367000579834
"StateCollege",-77.86,40.7934,"2018","09",226.397994995117,23.0049991607666,15.4689998626709
"StateCollege",-77.86,40.7934,"2018","10",107.095001220703,15.8629999160767,7.40700006484985
"StateCollege",-77.86,40.7934,"2018","11",129.906005859375,5.65399980545044,-0.660000026226044
"StateCollege",-77.86,40.7934,"2018","12",113.111000061035,3.8989999294281,-2.42000007629395
"Burlington",-73.2121,44.4759,"2018","01",78.6439971923828,-2.89800000190735,-12.1300001144409
"Burlington",-73.2121,44.4759,"2018","02",36.648998260498,3.11800003051758,-6.06899976730347
"Burlington",-73.2121,44.4759,"2018","03",71.5500030517578,3.01099991798401,-3.49799990653992
"Burlington",-73.2121,44.4759,"2018","04",119.861999511719,8.92800045013428,0.488999992609024
"Burlington",-73.2121,44.4759,"2018","05",53.1040000915527,22.1529998779297,10.2399997711182
"Burlington",-73.2121,44.4759,"2018","06",98.4390029907227,24.3740005493164,13.3459997177124
"Burlington",-73.2121,44.4759,"2018","07",76.2519989013672,30.3719997406006,18.7859992980957
"Burlington",-73.2121,44.4759,"2018","08",67.1320037841797,28.7360000610352,18.8920001983643
"Burlington",-73.2121,44.4759,"2018","09",104.208999633789,24.003999710083,13.75
"Burlington",-73.2121,44.4759,"2018","10",105.208000183105,12.6120004653931,5.45100021362305
"Burlington",-73.2121,44.4759,"2018","11",158.087005615234,4.14900016784668,-2.15100002288818
"Burlington",-73.2121,44.4759,"2018","12",61.1020011901855,1.64199995994568,-7.19299983978271
"Lincoln",-96.7026,40.8137,"2018","01",14.798999786377,0.00300000002607703,-11.8950004577637
"Lincoln",-96.7026,40.8137,"2018","02",20.1049995422363,0.788999974727631,-11.1899995803833
"Lincoln",-96.7026,40.8137,"2018","03",65.0419998168945,10.2019996643066,-1.7610000371933
